Unknown speaker,Survivor,Sigsbee,Politicians,Military personnel ,Journalists,Experts,"196 context hits for ""public"" / ""opinion"""
Undecided/Unclear,,,,,,,"over to the man left in command . `` Not having any further information . I can not express any opinion 011 the dis aster . '' REAR ADMIRAL IIROWVS VIEWS . rhinlcn Hie ExDldRinn Occurred on Hoard the"
,,,Suspend Opinion,,,,"profcund impression at the Capitol . Senators and members of the House as a rule expressed the opinion for publication that the catastrophe was the result of aeeidhiit and not of design , but there"
,,,Undecided/Unclear,,,,"e effect that the affair looked very mysterious and doubtful . As a rule senators expressed the opinion that the department would and should make thor orgh investigation , and added that for the pres"
Undecided/Unclear,,,,,,,"e meager information at hand and its possible consequerces , therefore de clined to express any opinion at this tim* . Prefer to Suspend Jn.lflrment . Chairman Hitt of the foreign affairs committee ."
,,,Accident,,,,"nt until the cause of the disaster was ascertained . Senator Piatt of Connecticut expressed the opinion thai the explosion would be found to be the result of an accident from within , and he doubted"
,,,,Attack,,,"soon as a vessel visited Havana this1 , krerff disaster snould occur . Gen. Butler Was flif the opinion that some bold man had gon ? aboard the Maine and placed a grenade *itli a slow match where it"
Undecided/Unclear,,,,,,,"finite information as to the causes and results of the Maine catastrophe I would not venture an opinion upon it . If It was an accident , as the first dispatches seem to Indicate , it was most deplor"
,,,Attack,,,,"? inks It Wns Intentional . Senator Mills of the committee on for eign relations expressed the opinion that the occurrence was the work of a torpedo , `` i would not say , '' he said , `` that the b"
,,,Accident,,,,",and I should not wish to express an opin ion until it Is made . '' Senator Morrill ? `` In my opinion the oc currence is the result of an accident . 1 have no Idea that any Spaniard had any thing w"
Undecided/Unclear,,,,,,,"nvince the American people that the explosion was an accident . He would not wish to express an opinion until further Information was re ceived . Considered In t'onamltlee . The Incident formed the p"
,,,Undecided/Unclear,,,,"planation . Most of the members of the committee re fi & ed after the conference to express any opinion concerning the occunence . `` It is too serious to talk about at present . '' said Senator Lodg"
,,,Attack,,,,"Mr. Mr. Cummings of New Tork . a member of the naval committee , unhesitatingly gave It as his opinion that the ship had been blown up hy a floating torpedo . `` It would have been easy . '' said he"
,,Suspend Opinion,,,,,"omply with the reasonable re quest of Capt . Sigsbee , the commander of the Maine , and suspend opinion . While doing so , we shall expect the Government to make the fullest and Hpeedjesl investigati"
,,,Accident,,,,"should not be attached to the fact that the President and the Secretary of the Navy advance the opinion ( with reservation ) , that It was an accident . For ; lther of them to Intimate a suspicion th"
,,,,,,Undecided/Unclear,"agiln and still leave it uncertain how the vessel came to be sunk . Constructors adhere to the opinion very sltongly that by no |K > ssihlllly could the Maine 's ammunition have been set off except"
,,,,Undecided/Unclear,,,"as to the appearance of the wreck or in the conflicting Tories of the sur vivors to change the opinion of the ma jority o ? the otticcrs stationed in the Xav ) Department that the Maine sunk as tIk"
Undecided/Unclear,,,,,,,"i . internal explosion . As to th- oriain of this explosion there Is still a wide difference of opinion , but the coal bunker tht'.ry today flr.ds very many more strong supporters than any other theo"
,,Undecided/Unclear,,,,,"n external cause . Tho captain said , on the contrary , that he could not venture to express an opinion . AT THE WHITE HK9E . A Different Atmosphere Fr ? m Til fit of Yesterday . The air of suppresse"
,Accident,,,,,,"ficers and men who were aboard llie warship Main ' at the time of the ex plcHun . and it is the opinion of ail of then that ( he explosion was due to some interim caurv , `` am ! not the result of th"
,,,,,,Undecided/Unclear,"e developed , whatever dis closures may be forthcoming . '' The Eagle gives great weight to the opinion of Constructor Bowles , who had much to do with the building of the Maine , that he can conceiv"
,,,,Attack,,,"he effect that It was no time nor place for such an accident to occur . TOHPEDO UNDER THE BOW . Opinion or a Former Officer of the Lost Battleship . Duluth . -Minn.. Feb. 1C Lieut . G. J- Day , Unite"
Suspend Opinion,,,,,,,"ared , 'perhaps exceeded those of the Victoria disaster in the Mediterranean . The consensus of opinion expressed Is that It is desirable to adopt Capt . Sigs bec 's advice and suspend judgment as to"
,,,Undecided/Unclear,,,,"hich Capt . Sigsbee informed Secretary Long of the disaster . '' Alluding to the expressions of opinion ascribed to Senator Cuilom and others , the paper says : `` Fortunately for America and the wor"
Accident,,,,,,,"m of these jepoits to wax rant the conclusion that the disaster was the result of design . In m opinion the explosion was the result of an accident , caused , perhaps , by the mag azine becoming oerh"
,,Suspend Opinion,,,,,"he sentence in Capt , SIgsbee 's telegram to the Secretary o.f he Navy , wherein he says public opinion should be sus pended until further report , is strik ingly significant . Capt . Sigsbee in re p"
Undecided/Unclear,,,,,,,",so far a3 he was able at that time , on the accident , and he refrained from ex pressing any opinion In this message as to the causes . The very fact that he omitted any statement that he be- Ueve"
,,Suspend Opinion,,,,,"n at the bottom of the disaster , that led Capt . Sigsbee to appeal for a suspen sion of public opinion until he could report further . It was not the fear of the censure of the department against hi"
,,Suspend Opinion,,,,,",for had this been in Copt . Sigsbee 's mind , he would have appealed for a suspension of the opinion of the de partment . Capt . Sigsbee 's appeal goes beyond the department and is ad dressed to t"
,,,Undecided/Unclear,,,,"enators who were at the Navy De partment yesterday morning say there is a decided difference of opinion be tween Secretary I-ong and Assistant Secretary Roosevelt as to the policy that should 'i ) o"
Accident,,,,,,,"my opinion Gen. Payne , of New York : `` I have n't i information enough on which to base . an opinion . '' j Mr. Hunter , of Wisconsin : `` It seems so far to have been an accident . '' ! Mr. Dolii"
Undecided/Unclear,,,,,,,"on board the vessel or by n torpedo under it . '' Mr. Bankhead , of Alabama , would not risk an opinion , preferring to await the result of an official investigation . Messrs. Shafroth and Bell , of"
Accident,,,,,,,"of an official investigation . Messrs. Shafroth and Bell , of Colora do , would not express an opinion . Mr. Simpson , of Kansas , was of the opinion that the explosion was due to accidental causes"
Accident,,,,,,,"h and Bell , of Colora do , would not express an opinion . Mr. Simpson , of Kansas , was of the opinion that the explosion was due to accidental causes . Mr. Fleming , of Georgia : `` If the affair-s"
Undecided/Unclear,,,,,,,"a draughtsman in the construction or the Maine . From life knowledge of the Maine he is of ths opinion that there Is little possibility of the disaster having been the resell of an incident . The ma"
,,,,,,Attack,"tended to show design in the destruction of the ship , and members were Inclined to follow the opinion of the experts in naval construc tion . The failure of the House to act yes terday in other tha"
Attack,,,,,,,"` The Mahte dM not go to the bottom of Havana iiartr by accWent . '' Mr. Orm also expressed the opinion that tne Fern should nt be in the har- i lor U the Gevernment can anything for tto Mv af ler cr"
Attack,,,,,,,"a. , February* 18. ? A special to the Times I'nlon and Citisen from Key West soys : The general opinion of many persons here is that the Maine was hit by a torp ? '' lo . after which the mag azine ex"
,Attack,,,,,,"rst was not as severe as the second , which blew up the ship . Other sur vivors are of the same opinion that It was f < ul work . Martin Riordan . a rubmarine diver of Key West and a survivor of the"
,,,Accident,,,,"now believe that the Maine was blown up as the lesult of vin accident . 1 hat was the unanimous opinion of the n '' mbera of the cabinet assembled around the cabinet table , and the President shared"
,,,Undecided/Unclear,,,,"eral McKfnna and Secretary Blisa have all been talked to and do.not , hesitate to give as thflr opinion that an a^old-nt caused the horror . r `` There is hardly a question about It now . '' said one"
,,,Suspend Opinion,,,,"sult of foul play . Particularly acttvc efforts in that direction are being made today . In the opinion of congress men who are reserving Judgment until the facts are known , the attitude of the Secr"
Undecided/Unclear,,,,,,,"? t known what caused the di.-asier . J pdlvidjials are at liberty to speculat Lord Berrnford'a Opinion Regarding the Disaster to the Maine . In an interview with a correspondent of the New York Worl"
,,,,,,Undecided/Unclear,"ord Charles Eeresford , the English naval . expert , said : `` It is now possible to express an opinion , though not a definite one , in view of today 's information , on the possi ble cause of the e"
,,,,Undecided/Unclear,,,"remendous accident to the American navy . '' Lieutenant General Valeriano Weyler ex pressed the opinion , in the course of an in terview . that the disaster which had be fallen the United States wars"
,,,,Attack,,,"ice , a retired naval of ficer , In speaking about the explosion on the Maine gave the positive opinion that it was caused by a torpedo . He said he thought the investigation would prove this to be t"
,,Suspend Opinion,,,,,"one thing ex pected of Secretary Long . Captain Slgsbeu 's cautious messages re garding public opinion and '.those of Gen eral Lee , together with the request of the former that the torpedo theory b"
Attack,,,,,,,"pnr .- nr , ; . f any attempt to hostile invasion of our t ; ujiiiuoii country . SKNOK PAUIA 'S OPINION . The Mniiio 's Destruction Was . Due to Treachery . Tampa . Fla..Feb. 17 . T. Estrada Palma ,"
,,,,Suspend Opinion,,,"vannah . Ga.. Feb. 17.-The membera or the court martial now in session here believe that public opinion should be juh pended regarding the cause of the terri ble accident to the Maine until there has"
Attack,,,,,,,"the Maine was wrecked by a torpedo . It was no internal accident that canned the disaster . The opinion gains that an ex plosive was placed under the bow . The fact that the magazine of the Maine was"
,,,Accident,,,,"officered Maine was redoubled under the stricter vigilance of her cap tain . THE DEPARTMENT 'S OPINION . A Torpedo Won Id Not Likely Ex plode the Magazine . The following notice , prompted pre sumab"
,,Suspend Opinion,,,,,"the American officer* here are very anxious for news from the United States , and as to public opinion , the captain has done all he can to calm the ex citement in the United States and to in duce t"
,,,Undecided/Unclear,,,,"l . naval attache ol the Spanish legation in Washington , who is here , was asked today for his opinion ils to the jiuse of the explosion on the Maine . His reply was surprising . `` I know the cause"
Suspend Opinion,,,,,,,"the public judgment pend ing the Inquiry into the destruction of the Maine . They volunteer no opinion them selves , and their conservatism should act as an example here at home until the country Is"
,,,,,,Undecided/Unclear,"n fvenerated be tween this hour and -the time of the explosion . HE SERVED ON THE SHIP . Expert Opinion of ttnnnur McGrnw , Formerly of tho Maine . Cleveland , O. , Feb. lS.-Jolm XV . Mc Graw , of th"
,,,,,,Attack,"quainted with every branch of the service . Gunner McGraw emphati cally declares that 't Is his opinion the Maine was blown up by a torpedo . He says : `` To anyone who understands the Inside working"
Undecided/Unclear,,,,,,,"Thursday stated with mu ? h posiUvene.ts . on nt least three different occasions that ho had no opinion as to tho cause , of tho disaster to the Maine and the annihilation of her crow , HU words in a"
Undecided/Unclear,,,,,,,"of her crow , HU words in answer to n question from a reporter for Tho Times were ; l tiava no opinion , f do not believe j tht We hlive any right to an opinion until the roMilt of tho investigation"
Undecided/Unclear,,,,,,,"orter for Tho Times were ; l tiava no opinion , f do not believe j tht We hlive any right to an opinion until the roMilt of tho investigation Is known . It would be unfair to judge hastily . '' The I"
Undecided/Unclear,,,,,,,"rtant development yesterdnj rolntU'e to the Maine disaster was tin ; otllqiul publication of an opinion as to tho cause of the disaster by tho Kavy De partment . The statement that follows was pasted"
Accident,,,,,,,"of Navigation ' , where all the oilicinl news Of the catastrophe has been given out . It Is an opinion that the Maine went to the bottom by an accident . It is as positive and as definite an opinion"
Accident,,,,,,,"opinion that the Maine went to the bottom by an accident . It is as positive and as definite an opinion as that ex pressed by Secretary Long on the day beTore that there should be no opinion . `` As"
,,,Suspend Opinion,,,,"inite an opinion as that ex pressed by Secretary Long on the day beTore that there should be no opinion . `` As to the question or the cause of the Maine 's explosion , we know that no torpedo such a"
,,,,Undecided/Unclear,,,"mi ! Safe . AVilllam Walsh . Instructor of seamen gunners at the Washington navy yard , gave an opinion on the Maine catastrophe last night . He believes that the destruc tion of the ship was the wor"
,,,,Undecided/Unclear,,,"d . Referring to the destruction of the Maine . Mr. Walsh said : `` I do not care to express an opinion on the matterfor pub lication , but 1 can not and do not believe the Initial explosion which se"
,,,,Undecided/Unclear,,,"e first ex plosion resulted from contact with a tor pedo or the explosion of a mine , It is tho opinion of ordnance men at the navy yard here that the board of inquiry will have great difficulty In e"
,,,Undecided/Unclear,,,,"spite the fact that the department claims to have no positive information uppn which to base an opinion . The opinion of many is that this board will find the accident to have been due to a blow from"
,,,Attack,,,,"that the department claims to have no positive information uppn which to base an opinion . The opinion of many is that this board will find the accident to have been due to a blow from a torpedo . T"
Undecided/Unclear,,,,,,,"nor of the Government . `` We have been led In there like a com mon confidence game , In `` the opinion of the people . `` I can not tell whether the explosion came from the Inside or the outside . B"
Suspend Opinion,,,,,,,"speaking and times for silence , and this is a time when we should restrain all ex pressions of opinion or belief as to the means by which this awful disaster was brought about , until . In the regul"
,,,Undecided/Unclear,,,,"form their duty . '' Mr. Hawley , chairman of the Commit tee on Naval Affairs , was of the same opinion as Mr. Lodge . He said there was no use in two investigations going on at the same time . `` Do"
Undecided/Unclear,,,,,,,"e safety of the Spanish battleship Viz caya during her stav in this port . He was asked Tor his opinion as to the cause of the explosion on the Maine . `` I know the cause of the explosion , but I ca"
,,,,,,Undecided/Unclear,"hods . `` H. N. COUDEN , `` Chairman Committee . `` T. J. Shannon , Secretnry . '' AN EXPERT 'S OPINION . A Former Chief Engineer of the Nav3 Issnes a Statement . Trenton . N. J. , Feb. 19 . Clark Fi"
Undecided/Unclear,,,,,,,"qually competent in six years . Tha vesant Glue Comnanv . Is nrobablv as well fitted to form an opinion of the cause and effect of the Maine disaster as any man . He was educated at Annapolis ! and s"
,,,Undecided/Unclear,,,,"nd none exploded ? '' `` SENTIMENT OP DIPLOMATS . `` *r l ? likely According lo the Pre vailing Opinion . Inquiry at leading foreign embassies and legations today fails to confirm the rumors that mem"
Suspend Opinion,,,,,,,"erviews with him . The first merely said . `` I have consistently refrained from expressing any opinion on the Maine dis Later in the day he wired : `` No newspaper divers have been used on ? wreck o"
Undecided/Unclear,,,,,,,"vana . , . . Ther ? Is no disposition here to jump at conclusions , and even those wno holi the opinion that the Maine was blown up by a mine do not believe the authorities were a partv in the most r"
Undecided/Unclear,,,,,,,"hance of saving or finding him . The Discipline was remarkable . `` Of course , we ail have our opinion re garding the cause of the accident , but you will not expect me to express my opinion now . Y"
Undecided/Unclear,,,,,,,"ave our opinion re garding the cause of the accident , but you will not expect me to express my opinion now . You are fair iliar with our orders and need no explanation . '' OFFESiDED AT GEV LEE . Co"
,,Undecided/Unclear,,,,,"Slgabee was aware of It that he had not thought It necessary to in form the department . In his opinion the report was unfounded . THE MAINE SURVIVORS . Comprehensive Statement Prepared at the Navy D"
Accident,,,,,,,"belief thai the disaster was the result of an un foreseen accident , and I shall adhere to that opinion unless the Investigation dis closes a very different state of affairs . `` Certainly If .the ac"
Undecided/Unclear,,,,,,,"it shall be fairly dealt with , and that its newspapers shall print the news . There is but one opinion in America today as to the Maine massacre and its cause . `` Word comes from every town in the"
,,,,Undecided/Unclear,,,"stant Secretary . '' Naval ofllcers , on being shown the above messages , expressed it as their opinion that no message written by eith er Capt . Sigsbee or Gen. Lee hinting at the cause for the expl"
Undecided/Unclear,,,,,,,"d half-back on the col lege team . We shall miss him very much . `` Of course , we all have our opinion re garding the cause of the accident , but 3ou will not expect me to express my opinion now ; y"
Undecided/Unclear,,,,,,,"ave our opinion re garding the cause of the accident , but 3ou will not expect me to express my opinion now ; you are familiar with our orders and need no explanation . THE CHAPLAIN OF THE MAINE . I"
Undecided/Unclear,,,,,,,"s on that branch of the subject is open to the reader 's conjecture : Of cour-e He all have our opinion legardhi ' . ; the cause of the accident , hut jou will not cxjiect me to expre-i ihv opinion n"
Undecided/Unclear,,,,,,,"r opinion legardhi ' . ; the cause of the accident , hut jou will not cxjiect me to expre-i ihv opinion now . You are familiar with our orders , and need no explanation . `` We have not seen it denie"
,,,,,,Attack,"Driggs-Seabury Gu.i and Am munition Company , of New Yonc . Inst night , said : `` I am of the opinion that the disaster was due to the tlischaige of a subma rine mine ; that th Main '' was eteirt '"
,,,Attack,,,,"t at Paris during the Franco-IrU8tta war . when he represented tho interests oX Germany cnisrrs opinion . He Does Not Believe the Maine Was AV recked hy Accident . New York , Fob . 22 . Th Jottrwai p"
,,,,,,Undecided/Unclear,"e ship experts may be left to determine . ' The point has not yet been reached where a definite opinion can be fofmed regard ing submarine mines . Outside evidence has been brought forward regarding"
Attack,,,,,,,"Maine to that iru ( Continued on sixth page . ) Indisputable Evidence of the President 's Real Opinion . ACCIDENT THEORY GIVEN UP A `` War CJauwe l'laeod In the Con tract for the liaising of .Ihu Ma"
,,Attack,,,,,"h magazines ( shell room and coal pockets . '' . ( Signed ) `` SIGSBEE . '' It is the general r opinion that Capt. `` '' Sigsbce Is undoubtedly sure now that the Maine was not blown up by accident ,"
Attack,,,,,,,"he has asked for the fleet . In that case it will be interesting to watch the result . General opinion In Havana has supported the theory of a new act of Spanish treachery in active preparation . Th"
,,,,,,Undecided/Unclear,"old in The Times this morning , were kept at the mast head . From the above description and the opinion of exnerts published so many times , it will be seen by all that the `` ac cident '' theory is"
Accident,,,,,,,"ss was 270 . This was before Captain Sigbee 's dispatch wasv received . The members were of the opinion the explosion was the result of an accident . The Spanish officers have expressed to Consul Lee"
,,,,Accident,,,"g the disaster to the Maine . Captain Dickins , chief of the navi gation bureau , expressed the opinion to-day that the explosion took place in the magazine of the Maine . He said that this was evide"
,,,Accident,,,,"ing eight wounded men ashore , after having saved , them from the water . ' , SECRETARY LONG 'S OPINION . Think That tho Explosion Was Canted by Accident Io the Magazine . WASHINGTON . Feb. 17 , Afte"
,,,,,,Undecided/Unclear,"ht of which the horror may be justly viewed . Secretary Long undoubtedly summarized the general opinion of the majority of the naval experts in finding it impossible Jut now to state th3 cause of the"
,,,,,,Attack,"who is an expert on naval con struction and armament , has stated in an interview that , in his opinion , it would be possible for spontaneous com bustion to have caused the explosion In tha magazine"
,,,,Attack,,,"osion . This is causing the naval officers a good deal of speculation , and they are now or tne opinion that the explosion was from the inside , and that it was caused by treachery . Onp of the lates"
Undecided/Unclear,,,,,,,"onimeihced for several days . As to the origin ' of the explositm there Is a wide difference of opinion . The coal bunker theory la finding very many strong suppiMtara , i more so than other theories"
Accident,,,,,,,"explosion occurred , and who are alble to tell their story , and it seems , to be the universal opinion that the explo- sion was of internal origin , and not by a torpedo . I Kev West . Feb 17 . Mr W"
Undecided/Unclear,,,,,,,"ine , says teat be is at a loss to understand bow it could have happened , and will not give an opinion until a thorough inyes- tiaUon has been made . ' The explosion has created the bieeest sensatio"
,,,Accident,,,,"the harbor and were taken to Ihe morgue . It Is impossible to identi ty them . THE PRESIDENT 'S OPINION . Thinks From All He Ha Learned That It Was an Accident . `` WASHINGTON , Feb. 18 President McK"
Attack,,,,,,,"and Heroism The Maine Sank in About Three Minutes After the Explosion Foul Play the Prevailing Opinion Sailors Swam With Legs Broken . New York , Feb. 18 . This is the first connected account by an"
Attack,,,,,,,"la , Feb 18 . A special to the Times-Union and Citizen from Key West , Fla , says : The general opinion of many persons here is that the Maine was hit by a torpedo after which the magazine ex ploded"
,Attack,,,,,,"The first was not as severe as the sec ond which blew up the ship . Other survivors are of the opinion that it was foul work . Martin Riordan , a submarine diver of Key West , and a survivor of the"
Accident,,,,,,,"ication of design . Therefore my impression has been all along , and I rather think the general opinion preponderates In the Same direction , thaUt must have been accidental . `` At the cabinet meeti"
,,,,Undecided/Unclear,,,"`` No , we know nothlns about it . Cf n it be so ? '' `` Does Capt . Eulate care to express any opinion about the disaster to the Maine ? '' ; `` No , this is the flrslj'we have hear'1 of It . .We ca"
,,,,,,Accident,"cident is a `` reflection upon Capt . Sigsbee and the officers of the Maine . The posting of an opinion by Prof. .lger at the . department , advancing the '.heory of an accident , is causing a good l"
,,,,,,Accident,"e '.heory of an accident , is causing a good leal of talk among naval officers . Prof. Alger 's opinion is undoubtedly valuable , but it must be confessed that It is not shared by the majority of off"
,,,Suspend Opinion,,,,"he purpose of the administration is to prevent as far as possible the hasty forming of , public opinion adverse to Spain , but an official assumption in face of expert testimony to the contrary that"
,,,,,,Undecided/Unclear,"ramp , the well-known ship builder , who stated that it was not right foi any one to express an opinion , as ab solutely no facts had been received either way . Wounded Men of the Maine Doing Well ."
,,,,Undecided/Unclear,,,"rcelona , Feb. 19 . Lieutenant-Gen-eral Valeriana Weyler , who has arrived here , expressed the opinion in the course of an interview , that the disas ter which had befallen the United iitxtes warahi"
,,,,Accident,,,"om New York quoting Lieu tenant Sobral 's interview , in which he is said to have expressed the opinion there was great lack of discipline and much carelessness on board of the Maine and that this wa"
,,,,Undecided/Unclear,,,"all the Ameri can officers here are very anxious for news from the United States as to pub lic opinion . The captain has dune all he can to calm the excitement in the United States and to induce the"
,,,,Undecided/Unclear,,,"arsh remarks about the officers of the Maine . The reporter , - in speaking to him , quoted the opinion said to have been given by an officer In the navy of Great Britain reflecting on the discipline"
,,,,Attack,,,"revailed at Havana at the time of sailing , and that the foreign population were general in the opinion that the Maine was destroyed by de sign . They cited among other things that the Spanish man-of"
,,,,Accident,,,"ly sensational , but are absurd . Many officials of the administra tion and the navy are of the opinion that the explosion was due to nothing but an accident , while a few allow a suspicion to haunt"
,,,,Undecided/Unclear,,,"expected that this work will take some time and while there are officers who say that in their opinion it will not he possible , owing to the probably disrupt ed condition of the hull of the ship to"
,,Suspend Opinion,,,,,"w pieces of equipment still above water . No oue had other clothes than those upon him . Public opinion should be suspended till further report . All officers believed to be saved . Jenkins and Merri"
Attack,,,,,,,"not . The na ture of the damage to the port side has not been fully settled , but the weight of opinion seems to be that the hole was made by an external explosion . “ Capt . Sigsbee thinks that the"
,,,,Undecided/Unclear,,,"ll the men and offi cers here are very anxious for news from the United States as to the public opinion there . The captain has done all he can to calm the excitement in the United States and to indu"
,,,Suspend Opinion,,,,"official utterance , and his inti mate friends have so far carefully avoided any expression of opinion that might In any way be quoted as a reflec tion of the Presidents views . Any stories that hav"
,,,Undecided/Unclear,,,,",one of the leak ing members of the Senate Foreign Re lations Committee , yesterday , gave hi opinion . Being a lawyer of much ex perience , especially in International questions , his opinion will"
,,Suspend Opinion,,,,,"pieces of equip ment still above water . No one has other clothes than those upon him . Public opinion should be suspended until further report . All officers be lieved to be saved . Jenkins and Mer"
Suspend Opinion,,,,,,,"erviews with him . The first merely said : `` I have consistently refrained from expressing any opinion on the Maine disaster . '' Later in the day he wired : `` No newspaper divers have been used on"
,,Suspend Opinion,,,,,"es ot .. -m.nt ntlll above ( water ) . N0 one s'l other clothes than those upon him . `` Public opinion thould be impended till further report All officer* believed to bo saved . Jenkins and Merrltt"
,,,,,,Undecided/Unclear,"of which the horror may be justly viewed . ! Secretary Long undoubtedly summar ised the general opinion of the majority : of the naval experts in finding It im possible Just how to state the cause of"
Suspend Opinion,,,,,,,"meagre infor mation at hand and its possible conse quences , therefore declined to express any opinion at this time . Chairman HItt , of the foreign affairs committee ; Chairman Dingley , of the way"
,,,Accident,,,,"e cause of the dlsas- 1 tcr was ascertained . i Senator Piatt , of Connecticut , express ed the opinion that the explosion would I be found to he the result of an acci dent from within , and he doubt"
,,,,Attack,,,"as soon as a vessel visited Havana this great dlsister should occur . General Butler was of the opinion that some bold man had gone aboard the Maine and placed a grenade with a slow match , where It"
Accident,,,,,,,"used because of 1 the ineagemess of present information ' as to details expressed the Informal opinion that the accident occurred from spontaneous combustion in the coal bunkers , the heat of which"
,,,Accident,,,,"ound Impression at the capltol . Sen ators and members of the house , as a rule , expressed the opinion for publica tion , that the catastrophe was the re sult of accident and not of design , but the"
,,,Suspend Opinion,,,,"effect that the affair looked very mysterious and doubtful . As a rule senators ex pressed the opinion that the department would and should make thorough In vestigatlon and added that for the pre se"
,,,Undecided/Unclear,,,,"sensation in naval circles osldo from any political aspect of it . '' The senator expressed the opinion ? u0 , mJ'CM wou , d ukG to pre vent the decreano of the navy , but did nor undertake to tiny t"
,,,,Undecided/Unclear,,,"< 3 mlral Sicard telegraphed Secretary Long from Key West this afternoon as follows : `` In the opinion of Lieutenant John Ilood , of tho Maine who has Just arriv ed from Havana , the Maine can never"
,,,,Undecided/Unclear,,,"y . BARCELONA , Feb . 17. ? Lieutenant General Weyler , who arrived hero to day , expressed the opinion in the course of an interview that the disaster which had befallen the United States warship Ma"
,,Suspend Opinion,,,,,"MAINE CALAMITY . ( apt . Sigsbco'Denounces all Inter views ? ith llim Untrue . HAS EXPRESSED NO OPINION IVhfltcvor as to the Couso of tho Grjflt Naval Disaster . |HULL NOT EXAMINED AS YET . | Om I )"
Suspend Opinion,,,,,,,"bject , with him . The first mere ly Mid : `` I have consistently refrained from `` Presslns an opinion on the Maine die aster . '' ^ f*aier in the day he wired : `` No news paper divers have been us"
Undecided/Unclear,,,,,,,"o or any external cause . Common sense can accept no such theory . The only reason that such an opinion Is held at all 13 that the accident happened at this time In the harbor of Havana . Sensible me"
Accident,,,,,,,"ding torpedo Is ex- 1 pended under water , and the character istlc sound Is a dull roar . In my opinion the cause of the disaster was the explo Ison of the magazine from within . There Is constant da"
,,,,,,Undecided/Unclear,"t of which the horror may be justly viewed . Secretary Long undoubtedly summariz ed the general opinion of the majority of the navy experts in finding it impossible just now to state the cause of the"
,,,,Undecided/Unclear,,,"xpected that this work will take some time , and while there are officers who say that in their opinion it will not .bo possible , owing to the probablo disrupted condition of the hull of the ship ,"
Undecided/Unclear,,,,,,,"ablo disrupted condition of the hull of the ship , to make out the cause of the explosion , the opinion of the majority is that the question will be easily set tled by the simple observation of the c"
Undecided/Unclear,,,,,,,"accident hypothesis , all of which , in the absence of any facts on which to base n reasonable opinion , were decidedly un batlsfactory . At the White House the president spent the evening until mid"
,,,,Attack,,,"as boon as a vessel visited Ha ana this great disaster should occur . General Butler was of the opinion that Lome bold men had gone aboard the Elaine and placed a grenade with a slow Match where it w"
Accident,,,,,,,"d not Tvish his name used because of the present meagreness of details , expressed the informal opinion that the accident oc curred from spontaneous combustion in the coal bunkers , the heat of which"
,,,Accident,,,,"ro found impression at the capital . Senators and members of the house as a rule ex pressed the opinion for publication that the catastrophe was the result of an acci dent and not of design , but the"
,,,Suspend Opinion,,,,"ffect that the affair look ed very mysterious and doubtful . As a rule , senators expressed the opinion that the department would and should make thorough investigation and added that for the present"
,,,,Accident,,,"CKENS . Washington . Feb. 1C Captain Dickens , chief of the . navigation bureau , expressed the opinion . today that the explosion took place in the magazine f the Maine . He said that this `` was ev"
Undecided/Unclear,,,,,,,"turned over to the officer left In command . Not having full information I can not express any opinion on thed lsaster . '' ADMIRAL . KIRKLAND . Vallejo , Cal. , Feb. 16 . Admiral Kirkland says that"
Attack,,,,,,,"a harbor the re sult of treachery and an act without par allel In the world 's history . In his opinion was must Inevitably follow : `` When the divers go down and examine tho hull of the vessel , ''"
Undecided/Unclear,,,,,,,"ot be said that the vary ing phases of the speculation during the day represented any change of opinion as to the very grave possibilities with which the disaster is pregnant . BATTLESHIP MAINE Sews"
,,Suspend Opinion,,,,,"ison , `` may be that there has been foul play , but Captain Sigs bco 's suggestion that public opinion be suspended until the facts are known is eminently proper . '' BLANCO . Madrid , Feb. 16 . The"
Undecided/Unclear,,,,,,,"ealized its importance as bearing upon the cause of thed isaster , but not willing to hazard an opinion in regard to it . New York , Feb. 17 . A dispatch to the Journal from Washington , dated 12:30"
,,Attack,,,,,"` Captain Sigsbee has Helegraphed the navy department , using the English ci pher , that In his opinion the destruction of the Maine was the act of an enemy . `` This dispatch has bech suppressed by"
,,,,Undecided/Unclear,,,"celna , Feb. 17 . Lieutenant General Valeriano Weyler , who arrived here to day , expressed the opinion , in the course of an interview , that the disaster which had befallen the Ignited States warsh"
,,,,Accident,,,"here yesterday , the divers have not yet made any investigation of the wreck , and the general opinion ex pressed in Spanish circles Is that the ex plosion occurred inside the Maine . Madrid . Feb."
Accident,,,,,,,"tion of design . There fore , my impression has been all along , and I rather think the general opinion preponderates in the same direction , that it must have been accidental . `` At the cabinet mee"
Suspend Opinion,,,,,,,"en we face the awful calamity that has overtaken us , when w should retain any expression of an opinion , or our belief a sto how this aw ful disaster was brought about , until in a proper , tegular"
,,,,,,Attack,"ylves ter Scovel under today 's date , from Ha vana , via Key West , says : `` The consensus of opinion of those who have studied the wreck closely Is now that the explosion was caused by a submarine"
Attack,,,,,,,"prevailed at Ha vana , and at the time of sailing tho for eign population were generally of the opinion that the Maine was destroyed by 3esign . They cited among other things in support of this theor"
Attack,,,,,,,"not . The nature of the damage to the port side has not been fully settled , but the weight of opinion seems to be that the hole was made by an extern ! explo sion . Captain Sigsbee thinks that the"
,,Suspend Opinion,,,,,"ieces of equipment still above ( watei ) No one had other clothes than those upon him `` Public opinion should be suspended un til further report . All officers believed to be saved Jenkins and Merri"
